beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy
SSP073,天演金选股票量化优选1号,2026-08-28,0.992000,2026-08-28,0.992000,2026-08-28,1个月内,,weekly
SSQ522,善择先锋二号,2026-08-28,1.357000,2026-08-28,1.357000,2026-08-28,1个月内,,weekly
SSR239,沁源全球精选2号,2026-08-28,2.591400,2026-08-28,2.591400,2026-08-28,1个月内,,weekly
SSU092,星阔海鹏一号,2026-08-28,1.293400,2026-08-28,1.293400,2026-08-28,1个月内,,weekly
SSW260,衍盛铭量智选1号,2026-08-28,2.374000,2026-08-28,2.374000,2026-08-28,1个月内,,weekly
SSW952,千象卓越5号,2026-08-28,1.821500,2026-08-28,1.821500,2026-08-28,1个月内,,weekly
SSZ798,星阔星汉1号全气候量化宏观配置,2026-08-28,1.295400,2026-08-28,1.295400,2026-08-28,1个月内,,weekly
ST3922,哈福尊享一号,2026-08-28,1.900500,2026-08-28,1.900500,2026-08-28,1个月内,,weekly
ST7688,博孚利CTA5号,2026-08-28,3.485300,2026-08-28,3.485300,2026-08-28,1个月内,,weekly
STB102,博孚利稳强8号FOF,2026-08-28,1.317000,2026-08-28,1.317000,2026-08-28,1个月内,,weekly
STC840,大道丰沃500指数增强,2026-08-28,1.997400,2026-08-28,1.997400,2026-08-28,1个月内,,weekly
STC841,大道丰盈1000指数增强,2026-08-28,1.913300,2026-08-28,1.913300,2026-08-28,1个月内,,weekly
STE102,京盈智投博远,2026-08-28,3.050000,2026-08-28,3.050000,2026-08-28,1个月内,,weekly
STF277,中柏柏跃一号,2026-08-28,1.145500,2026-08-28,1.145500,2026-08-28,1个月内,,weekly
STG126,善择稳进5号,2026-08-28,1.098800,2026-08-28,1.098800,2026-08-28,1个月内,,weekly
STJ864,臻选乘势强势股一号,2026-08-28,1.552000,2026-08-28,1.552000,2026-08-28,1个月内,,weekly
STK222,无隅鲲鹏科创一号,2026-08-28,2.510000,2026-08-28,2.510000,2026-08-28,1个月内,,weekly
STN659,奕睿CTA一期A,2026-08-28,1.399700,2026-08-28,1.399700,2026-08-28,1个月内,,weekly
STS461,尚艺量化全天候低波动率1号,2026-08-28,1.193800,2026-08-28,1.193800,2026-08-28,1个月内,,weekly
STT871,星阔南山1号红利低波100指数增强,2026-08-28,1.252100,2026-08-28,1.252100,2026-08-28,1个月内,,weekly
STT893,满风积分2号中证500指数增强,2026-08-28,1.722000,2026-08-28,1.722000,2026-08-28,1个月内,,weekly
STV557,深高弘源稳进9号,2026-08-28,1.068000,2026-08-28,1.068000,2026-08-28,1个月内,,weekly
STV728,博润小牛3号,2026-08-28,1.081300,2026-08-28,1.081300,2026-08-28,1个月内,,weekly
STV889,亘曦安享1号,2026-08-28,1.273100,2026-08-28,1.273100,2026-08-28,1个月内,,weekly
STX761,衍合量化选股1号,2026-08-28,1.455900,2026-08-28,1.455900,2026-08-28,1个月内,,weekly
